id,active,dateCreated,title,city,state,fullTime,department,experience,wageCategory,salary,jobDescription
8715,TRUE,2021-01-27,Integration Developer,Coralville,IA,FALSE,Data Management,Experienced,Salaried,50000,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8805,TRUE,2021-03-24,Manager Data Technologies,Coralville,IA,TRUE,Data Management ,Manager/Supervisor,Salaried,75000,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8790,TRUE,2021-03-06,Associate Coder,Portland,OR,FALSE,Project Management,Mid Level,Hourly,20,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8787,TRUE,2021-03-03,"<script>alert(""Escape Me"")</script>Analyst Financial Planning and Analysis",Coralville,IA,TRUE,Finance,Experienced,Hourly,25,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8720,TRUE,2021-02-12,Reimbursement Analyst,Anaheim,CA,TRUE,Insurance,Experienced,Salaried,5000,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8750,TRUE,2021-02-26,Configuration Management Analyst,Coralville,IA,FALSE,Information Technology,Mid Level,Salaried,42500,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8812,TRUE,2021-03-29,Billing Representative,Anaheim,CA,TRUE,Sales,Entry Level,Hourly,15,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8809,TRUE,2021-03-26,Client Delivery Manager,Coralville,IA,TRUE,Project Management,Manager/Supervisor,Salaried,75000,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8811,TRUE,2021-03-28,Analyst Revenue Cycle,Portland,OR,TRUE,Information Technology,Experienced,Salaried,50000,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."
8721,FALSE,2021-02-12,Manager Coding Audit,Coralville,IA,TRUE,Sales,Manager/Supervisor,Salaried,75000,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed venenatis placerat lorem, et tempus dui efficitur id. Lorem ipsum dolor sit amet, consectetur adipiscing elit. Donec pulvinar a dolor convallis dapibus. Nulla eu lorem vitae leo maximus vulputate sit amet vel urna. Sed non est nec orci bibendum porttitor. Mauris vehicula, nisl at vestibulum vehicula, eros urna sollicitudin velit, eu aliquam odio sem in risus. Vestibulum a sagittis lacus. Donec et dictum est. Vestibulum rhoncus magna nec libero pharetra, eu semper turpis bibendum. Sed congue faucibus euismod. Aliquam erat volutpat. Nullam congue sapien quam, id mattis ipsum volutpat nec. Curabitur."